"UK Business Counts - Local units"
"ONS Crown Copyright Reserved [from Nomis on 12 May 2016]"
"Analysis   :","standard"
"Industry   :","Total"
"Employment Sizeband:","Total"
"Legal Status:","Total"
"Area","mnemonic","2010","2011","2012","2013","2014","2015"
"ualad09:Banbridge","95FF",2590,2535,2500,2490,2490,2470
"ualad09:Belfast","95GG",12295,12230,12120,12190,12280,12345
"ualad09:Carrickfergus","95HH",995,985,980,970,965,995
"ualad09:Castlereagh","95II",1895,1845,1850,1825,1825,1815
"ualad09:Coleraine","95JJ",2810,2785,2715,2675,2635,2575
"ualad09:Cookstown","95KK",2565,2560,2605,2555,2550,2515
"ualad09:Craigavon","95LL",3585,3540,3400,3365,3340,3340
"ualad09:Derry","95MM",3685,3660,3595,3545,3560,3580
"ualad09:Down","95NN",3395,3315,3235,3225,3220,3220
"ualad09:Dungannon","95OO",3730,3720,3725,3730,3685,3735
"ualad09:Fermanagh","95PP",4655,4700,4675,4715,4620,4655
"ualad09:Larne","95QQ",1415,1410,1465,1425,1390,1375
"ualad09:Limavady","95RR",1550,1520,1510,1485,1460,1440
"ualad09:Lisburn","95SS",4545,4520,4480,4425,4425,4420
"ualad09:Magherafelt","95TT",2865,2880,2845,2805,2795,2810
"ualad09:Moyle","95UU",1000,995,1000,1000,995,975
"ualad09:Newry and Mourne","95VV",5455,5380,5300,5330,5325,5380
"ualad09:Newtownabbey","95WW",2595,2540,2520,2515,2510,2485
"ualad09:North Down","95XX",2610,2575,2545,2475,2400,2420
"ualad09:Omagh","95YY",3675,3635,3645,3640,3645,3705
"ualad09:Strabane","95ZZ",2190,2145,2170,2155,2190,2190
"uacounty09:Darlington","E06000005",3535,3470,3510,3500,3550,3890
"uacounty09:County Durham","E06000047",15035,14690,14815,14780,15155,16400
"uacounty09:Hartlepool","E06000001",2385,2355,2455,2420,2600,2830
"uacounty09:Middlesbrough","E06000002",3555,3435,3555,3480,3660,4035
"uacounty09:Northumberland","E06000057",12170,12020,12175,12095,12390,13145
"uacounty09:Redcar and Cleveland","E06000003",3310,3315,3370,3390,3560,3870
"uacounty09:Stockton-on-Tees","E06000004",5665,5580,5770,5775,6090,6720
"uacounty09:Gateshead","E08000037",6265,5995,5975,5945,6145,6590
"uacounty09:Newcastle upon Tyne","E08000021",9130,8975,9215,9250,9520,10150
"uacounty09:North Tyneside","E08000022",5105,5015,5215,5170,5470,5895
"uacounty09:South Tyneside","E08000023",3245,3135,3210,3250,3485,3870
"uacounty09:Sunderland","E08000024",6570,6305,6365,6315,6585,7145
"uacounty09:Blackburn with Darwen","E06000008",4850,4765,4880,4850,5000,5385
"uacounty09:Blackpool","E06000009",4560,4375,4240,4110,4255,4605
"uacounty09:Cheshire East","E06000049",18775,18685,19015,19195,19855,21085
"uacounty09:Cheshire West and Chester","E06000050",13965,13865,14260,14285,14910,15885
"uacounty09:Halton","E06000006",3540,3510,3580,3655,3830,4130
"uacounty09:Warrington","E06000007",7920,7845,8085,8210,8595,9165
"uacounty09:Cumbria","E10000006",26375,25800,25825,25800,26300,27780
"uacounty09:Bolton","E08000001",9250,9090,9100,8910,9320,9955
"uacounty09:Bury","E08000002",6350,6310,6380,6395,6635,7315
"uacounty09:Manchester","E08000003",17360,17465,18400,18870,20170,22170
"uacounty09:Oldham","E08000004",6570,6450,6560,6415,6610,7095
"uacounty09:Rochdale","E08000005",6415,6240,6425,6335,6400,6905
"uacounty09:Salford","E08000006",7690,7575,7930,8285,8770,9400
"uacounty09:Stockport","E08000007",11720,11395,11665,11535,11835,12645
"uacounty09:Tameside","E08000008",6240,6085,6255,6205,6425,6970
"uacounty09:Trafford","E08000009",10935,10910,11255,11690,12165,12815
"uacounty09:Wigan","E08000010",9075,8830,9010,8950,9195,9965
"uacounty09:Lancashire","E10000017",45900,44930,45050,44620,45775,48795
"uacounty09:Knowsley","E08000011",3070,3040,3095,3060,3220,3695
"uacounty09:Liverpool","E08000012",13565,13120,13345,13390,14215,15355
"uacounty09:Sefton","E08000014",8310,7965,8055,8000,8375,8985
"uacounty09:St. Helens","E08000013",4675,4605,4650,4650,4840,5305
"uacounty09:Wirral","E08000015",8605,8570,8765,8755,9285,10065
"uacounty09:East Riding of Yorkshire","E06000011",14110,13810,14090,14040,14355,15310
"uacounty09:Kingston upon Hull, City of","E06000010",8635,7760,7640,7545,7720,8145
"uacounty09:North East Lincolnshire","E06000012",5340,5090,5125,5055,5150,5560
"uacounty09:North Lincolnshire","E06000013",6120,5890,5900,5895,6060,6475
"uacounty09:York","E06000014",7980,7870,8010,8135,8105,8610
"uacounty09:North Yorkshire","E10000023",33420,33250,33485,33690,34355,36090
"uacounty09:Barnsley","E08000016",6260,6175,6315,6280,6395,6955
"uacounty09:Doncaster","E08000017",8500,8355,8380,8395,8670,10120
"uacounty09:Rotherham","E08000018",7210,7070,7155,7195,7365,8080
"uacounty09:Sheffield","E08000019",16495,16100,16325,16305,16840,18040
"uacounty09:Bradford","E08000032",15180,14915,15285,15145,15675,17050
"uacounty09:Calderdale","E08000033",7850,7850,7975,8005,8290,8895
"uacounty09:Kirklees","E08000034",13970,13860,14205,14190,14650,15800
"uacounty09:Leeds","E08000035",26775,26725,27405,27705,28795,32605
"uacounty09:Wakefield","E08000036",9965,9750,9965,9945,10185,11055
"uacounty09:Derby","E06000015",7665,7455,7780,7780,8160,8775
"uacounty09:Leicester","E06000016",10320,10200,10580,10750,11440,12480
"uacounty09:Nottingham","E06000018",9830,9570,9590,9580,9915,10725
"uacounty09:Rutland","E06000017",1950,1910,1950,1905,1935,2060
"uacounty09:Derbyshire","E10000007",30135,29590,29910,29835,30540,32925
"uacounty09:Leicestershire","E10000018",27525,27230,28005,28035,29110,31155
"uacounty09:Lincolnshire","E10000019",30000,29575,29960,30035,31135,32490
"uacounty09:Northamptonshire","E10000021",29560,29050,29805,30170,31570,34365
"uacounty09:Nottinghamshire","E10000024",27710,27010,27065,26930,27310,29290
"uacounty09:Herefordshire, County of","E06000019",10660,10625,10690,10770,10950,11315
"uacounty09:Shropshire","E06000051",16280,16110,16195,16295,16545,17375
"uacounty09:Stoke-on-Trent","E06000021",6950,6845,6930,6920,7035,7450
"uacounty09:Telford and Wrekin","E06000020",5475,5280,5395,5410,5530,5890
"uacounty09:Staffordshire","E10000028",33585,33035,33445,33695,34245,36200
"uacounty09:Warwickshire","E10000031",26715,26175,26535,26595,27610,29375
"uacounty09:Birmingham","E08000025",32485,32870,32265,32750,34285,36720
"uacounty09:Coventry","E08000026",9240,8960,9305,9365,9900,10775
"uacounty09:Dudley","E08000027",10510,10260,10345,10335,10595,11020
"uacounty09:Sandwell","E08000028",8465,8080,8375,8335,8655,9415
"uacounty09:Solihull","E08000029",8135,8140,8305,8325,8535,9165
"uacounty09:Walsall","E08000030",7590,7380,7595,7515,7725,8430
"uacounty09:Wolverhampton","E08000031",8055,7730,7820,7920,8065,8190
"uacounty09:Worcestershire","E10000034",25925,25430,25780,25565,26010,27230
"uacounty09:Bedford","E06000055",6625,6490,6600,6675,6950,7425
"uacounty09:Central Bedfordshire","E06000056",11565,11295,11545,11570,11960,12675
"uacounty09:Luton","E06000032",5635,5555,5765,5855,6140,6825
"uacounty09:Peterborough","E06000031",6520,6420,6455,6535,6775,7380
"uacounty09:Southend-on-Sea","E06000033",6450,6300,6555,6600,6875,7445
"uacounty09:Thurrock","E06000034",5005,4870,5275,5350,5680,6225
"uacounty09:Cambridgeshire","E10000003",28765,28390,28930,29160,30255,31870
"uacounty09:Essex","E10000012",61255,60330,61730,61760,64185,67940
"uacounty09:Hertfordshire","E10000015",54010,54005,55735,56220,58975,63020
"uacounty09:Norfolk","E10000020",35545,34975,35055,34990,35845,37730
"uacounty09:Suffolk","E10000029",31750,31355,31490,31410,32635,33915
"uacounty09:Camden","E09000007",24060,23990,25195,25495,26930,29100
"uacounty09:City of London","E09000001",16030,16555,16795,17345,18205,19885
"uacounty09:Hackney","E09000012",10450,10750,11815,12455,13890,15865
"uacounty09:Hammersmith and Fulham","E09000013",11355,11350,12040,12360,12930,13845
"uacounty09:Haringey","E09000014",8800,8890,9690,9830,10565,11795
"uacounty09:Islington","E09000019",13715,13580,14495,15280,16815,18630
"uacounty09:Kensington and Chelsea","E09000020",12745,12445,12885,13120,13600,14675
"uacounty09:Lambeth","E09000022",10955,10935,11595,14795,16915,19215
"uacounty09:Lewisham","E09000023",7410,7280,7940,8060,8825,9780
"uacounty09:Newham","E09000025",6230,6560,7550,7880,8755,10200
"uacounty09:Southwark","E09000028",13250,13815,14155,13835,14745,16250
"uacounty09:Tower Hamlets","E09000030",11620,11770,12935,13590,14945,16650
"uacounty09:Wandsworth","E09000032",14680,14590,15430,15580,16470,17770
"uacounty09:Westminster","E09000033",46490,46385,48520,49415,50860,53760
"uacounty09:Barking and Dagenham","E09000002",3935,4310,5230,5325,5815,6500
"uacounty09:Barnet","E09000003",17570,17730,18920,19335,20740,22550
"uacounty09:Bexley","E09000004",7070,6920,7320,7450,7975,8785
"uacounty09:Brent","E09000005",11660,11635,12605,12655,13425,14500
"uacounty09:Bromley","E09000006",12495,12415,13030,13320,14070,15205
"uacounty09:Croydon","E09000008",12065,11995,12730,13010,13580,14815
"uacounty09:Ealing","E09000009",13585,13370,14370,14665,15880,17550
"uacounty09:Enfield","E09000010",9900,9905,10510,10745,11685,12880
"uacounty09:Greenwich","E09000011",6785,6885,7600,7815,8515,9435
"uacounty09:Harrow","E09000015",10275,10480,11145,11390,12115,13300
"uacounty09:Havering","E09000016",7965,7750,8150,8305,8935,9825
"uacounty09:Hillingdon","E09000017",10745,10805,11415,11725,12355,13520
"uacounty09:Hounslow","E09000018",10220,10365,11405,11835,12465,13605
"uacounty09:Kingston upon Thames","E09000021",7660,7625,8000,8035,8370,9005
"uacounty09:Merton","E09000024",8590,8680,9240,9595,10380,11440
"uacounty09:Redbridge","E09000026",8705,8865,9915,10285,11280,12710
"uacounty09:Richmond upon Thames","E09000027",11735,11645,12135,12315,12705,13715
"uacounty09:Sutton","E09000029",6895,6870,7255,7350,7725,8405
"uacounty09:Waltham Forest","E09000031",6900,6905,7730,7915,8555,9970
"uacounty09:Bracknell Forest","E06000036",4645,4635,4745,4735,4835,5130
"uacounty09:Brighton and Hove","E06000043",12970,12970,13305,13540,14115,15210
"uacounty09:Isle of Wight","E06000046",5590,5440,5440,5275,5335,5615
"uacounty09:Medway","E06000035",7950,7730,8055,8060,8415,9025
"uacounty09:Milton Keynes","E06000042",10915,10725,11150,11530,12055,13145
"uacounty09:Portsmouth","E06000044",6445,6215,6290,6305,6525,6945
"uacounty09:Reading","E06000038",6700,6725,7105,7215,7565,7985
"uacounty09:Slough","E06000039",4685,4635,4955,5175,5480,5915
"uacounty09:Southampton","E06000045",7160,6890,7075,7135,7395,7835
"uacounty09:West Berkshire","E06000037",8955,8905,9080,9110,9345,9785
"uacounty09:Windsor and Maidenhead","E06000040",8945,8915,9010,9160,9490,9995
"uacounty09:Wokingham","E06000041",7465,7435,7700,7875,8215,8660
"uacounty09:Buckinghamshire","E10000002",28990,28860,29490,29505,30310,32050
"uacounty09:East Sussex","E10000011",23255,22695,22885,22800,23475,25035
"uacounty09:Hampshire","E10000014",59565,58985,60015,60115,62100,65560
"uacounty09:Kent","E10000016",60370,59290,60655,60790,62540,66435
"uacounty09:Oxfordshire","E10000025",32795,32930,33430,32435,33190,35075
"uacounty09:Surrey","E10000030",60700,60580,62880,63410,65690,69650
"uacounty09:West Sussex","E10000032",36415,35910,36490,36515,37460,39835
"uacounty09:Bath and North East Somerset","E06000022",8515,8465,8640,8565,8820,9280
"uacounty09:Bournemouth","E06000028",6840,6760,6945,6880,7125,7560
"uacounty09:Bristol, City of","E06000023",17350,17560,17900,18160,18965,20615
"uacounty09:Cornwall","E06000052",25395,25400,25535,25490,25740,27275
"uacounty09:Isles of Scilly","E06000053",245,240,245,235,240,260
"uacounty09:North Somerset","E06000024",8325,8285,8515,8565,8960,9635
"uacounty09:Plymouth","E06000026",6880,6780,6855,6905,7250,7440
"uacounty09:Poole","E06000029",6295,6300,6440,6425,6655,6955
"uacounty09:South Gloucestershire","E06000025",10060,10040,10295,10365,10800,11415
"uacounty09:Swindon","E06000030",6955,6880,7150,7285,7665,8260
"uacounty09:Torbay","E06000027",4590,4560,4550,4460,4495,4820
"uacounty09:Wiltshire","E06000054",22505,22430,22915,23045,23695,24975
"uacounty09:Devon","E10000008",39580,39305,39600,39625,40220,42030
"uacounty09:Dorset","E10000009",20415,20150,20315,20225,20825,21710
"uacounty09:Gloucestershire","E10000013",29550,29310,29630,29630,30310,31930
"uacounty09:Somerset","E10000027",25925,25530,25715,25695,26205,27565
"uacounty09:Antrim","95T",2455,2470,2435,2375,2375,2385
"uacounty09:Ards","95X",3095,3020,2995,2950,2900,2865
"uacounty09:Armagh","95O",3605,3570,3565,3560,3500,3540
"uacounty09:Ballymena","95G",3370,3375,3385,3345,3270,3270
"uacounty09:Ballymoney","95D",1635,1655,1620,1590,1545,1580
"uacounty09:Banbridge","95Q",2590,2535,2500,2490,2490,2470
"uacounty09:Belfast","95Z",12295,12230,12120,12190,12280,12345
"uacounty09:Carrickfergus","95V",995,985,980,970,965,995
"uacounty09:Castlereagh","95Y",1895,1845,1850,1825,1825,1815
"uacounty09:Coleraine","95C",2810,2785,2715,2675,2635,2575
"uacounty09:Cookstown","95I",2565,2560,2605,2555,2550,2515
"uacounty09:Craigavon","95N",3585,3540,3400,3365,3340,3340
"uacounty09:Derry","95A",3685,3660,3595,3545,3560,3580
"uacounty09:Down","95R",3395,3315,3235,3225,3220,3220
"uacounty09:Dungannon","95M",3730,3720,3725,3730,3685,3735
"uacounty09:Fermanagh","95L",4655,4700,4675,4715,4620,4655
"uacounty09:Larne","95F",1415,1410,1465,1425,1390,1375
"uacounty09:Limavady","95B",1550,1520,1510,1485,1460,1440
"uacounty09:Lisburn","95S",4545,4520,4480,4425,4425,4420
"uacounty09:Magherafelt","95H",2865,2880,2845,2805,2795,2810
"uacounty09:Moyle","95E",1000,995,1000,1000,995,975
"uacounty09:Newry and Mourne","95P",5455,5380,5300,5330,5325,5380
"uacounty09:Newtownabbey","95U",2595,2540,2520,2515,2510,2485
"uacounty09:North Down","95W",2610,2575,2545,2475,2400,2420
"uacounty09:Omagh","95K",3675,3635,3645,3640,3645,3705
"uacounty09:Strabane","95J",2190,2145,2170,2155,2190,2190
"uacounty09:Aberdeen City","S12000033",9795,10030,10620,11020,11470,11910
"uacounty09:Aberdeenshire","S12000034",13905,14130,14695,15005,15450,16045
"uacounty09:Angus","S12000041",4350,4335,4430,4415,4485,4750
"uacounty09:Argyll and Bute","S12000035",4665,4625,4735,4665,4685,4875
"uacounty09:Clackmannanshire","S12000005",1305,1285,1310,1265,1315,1405
"uacounty09:Dumfries and Galloway","S12000006",7525,7440,7440,7370,7445,7780
"uacounty09:Dundee City","S12000042",4225,4160,4230,4260,4360,4645
"uacounty09:East Ayrshire","S12000008",3805,3780,3865,3845,3855,3930
"uacounty09:East Dunbartonshire","S12000045",2935,2905,3030,2980,3115,3355
"uacounty09:East Lothian","S12000010",3035,3025,3150,3230,3300,3480
"uacounty09:East Renfrewshire","S12000011",2495,2415,2545,2560,2680,2880
"uacounty09:Edinburgh, City of","S12000036",19130,19095,19750,19985,20820,22145
"uacounty09:Eilean Siar","S12000013",1350,1325,1365,1360,1390,1490
"uacounty09:Falkirk","S12000014",4135,4115,4210,4245,4400,4685
"uacounty09:Fife","S12000015",10605,10515,10780,10555,10720,11520
"uacounty09:Glasgow City","S12000046",20355,20225,20895,20880,21630,22960
"uacounty09:Highland","S12000017",12580,12470,12830,12830,13115,13590
"uacounty09:Inverclyde","S12000018",1930,1910,1990,1970,1985,2120
"uacounty09:Midlothian","S12000019",2355,2360,2415,2445,2505,2715
"uacounty09:Moray","S12000020",3735,3720,3775,3780,3805,3980
"uacounty09:North Ayrshire","S12000021",3940,3865,3950,3905,3990,4265
"uacounty09:North Lanarkshire","S12000044",8995,8990,9045,9110,9330,9925
"uacounty09:Orkney Islands","S12000023",1655,1630,1650,1625,1670,1725
"uacounty09:Perth and Kinross","S12000024",6735,6620,6740,6710,6845,7230
"uacounty09:Renfrewshire","S12000038",5235,5160,5240,5275,5410,5735
"uacounty09:Scottish Borders","S12000026",5750,5675,5760,5670,5775,6035
"uacounty09:Shetland Islands","S12000027",1610,1630,1675,1685,1720,1755
"uacounty09:South Ayrshire","S12000028",4120,4095,4160,4125,4190,4425
"uacounty09:South Lanarkshire","S12000029",9810,9685,9900,9950,10350,10865
"uacounty09:Stirling","S12000030",4250,4275,4385,4345,4450,4695
"uacounty09:West Dunbartonshire","S12000039",2075,2065,2135,2115,2180,2320
"uacounty09:West Lothian","S12000040",4920,4885,5045,5110,5315,5620
"uacounty09:Anglesey","W06000001",2825,2825,2865,2825,2830,3055
"uacounty09:Gwynedd","W06000002",6250,6200,6305,6225,6200,6550
"uacounty09:Conwy","W06000003",4845,4780,4845,4825,4915,5265
"uacounty09:Denbighshire","W06000004",4070,3990,4010,4015,4120,4365
"uacounty09:Flintshire","W06000005",5400,5325,5430,5360,5470,5825
"uacounty09:Wrexham","W06000006",4565,4525,4530,4505,4575,4810
"uacounty09:Powys","W06000023",9585,9510,9550,9450,9430,9800
"uacounty09:Ceredigion","W06000008",4580,4545,4525,4430,4425,4585
"uacounty09:Pembrokeshire","W06000009",6365,6160,6145,6060,6160,6415
"uacounty09:Carmarthenshire","W06000010",8640,8430,8485,8330,8450,8915
"uacounty09:Swansea","W06000011",7310,7050,7140,7060,7255,7750
"uacounty09:Neath Port Talbot","W06000012",3595,3485,3445,3360,3520,3795
"uacounty09:Bridgend","W06000013",4200,4045,4075,4000,4090,4440
"uacounty09:The Vale of Glamorgan","W06000014",4180,4125,4195,4205,4450,4795
"uacounty09:Cardiff","W06000015",12030,11800,12100,12130,12750,13900
"uacounty09:Rhondda, Cynon, Taff","W06000016",5825,5725,5765,5685,5895,6415
"uacounty09:Merthyr Tydfil","W06000024",1390,1375,1410,1415,1490,1585
"uacounty09:Caerphilly","W06000018",4175,4110,4195,4195,4390,4745
"uacounty09:Blaenau Gwent","W06000019",1435,1415,1445,1445,1510,1640
"uacounty09:Torfaen","W06000020",2380,2330,2350,2285,2330,2580
"uacounty09:Monmouthshire","W06000021",4555,4490,4540,4475,4640,4900
"uacounty09:Newport","W06000022",4610,4390,4325,4235,4315,4695




"","Figures may differ by small amounts from those published in ONS outputs"
"","due to the application of a different rounding methodology."
"","due to the application of a different rounding methodology."


"","Disclosure control methods were revised on 6th October 2015. Users may notice"
"minor changes to some cell counts when comparing with data downloaded prior","Disclosure control methods were revised on 6th October 2015. Users may notice"
"to this date.","Disclosure control methods were revised on 6th October 2015. Users may notice"
"","Disclosure control methods were revised on 6th October 2015. Users may notice"


"","In 2015, ONS extended the coverage of businesses to include a population of"
"solely PAYE based businesses that were previously excluded because of the risk","In 2015, ONS extended the coverage of businesses to include a population of"
"of duplication. In total, in 2015, 105,000 businesses have been","In 2015, ONS extended the coverage of businesses to include a population of"
"added.Improvements in matching of administrative data and research into those units excluded","In 2015, ONS extended the coverage of businesses to include a population of"
"has indicated that the risk of duplication is very small. The addition of","In 2015, ONS extended the coverage of businesses to include a population of"
"these businesses brings the publication in line with Business Demography and the","In 2015, ONS extended the coverage of businesses to include a population of"
"BIS Business Population Estimates, both of which include these businesses. For","In 2015, ONS extended the coverage of businesses to include a population of"
"more information, see","In 2015, ONS extended the coverage of businesses to include a population of"
"http://www.nomisweb.co.uk/articles/ref/UKBusinessCoverage.pdf","In 2015, ONS extended the coverage of businesses to include a population of"
"","In 2015, ONS extended the coverage of businesses to include a population of"

